City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,papatowai,-46.5619,169.4708,7.41,75,52,5.24,NZ,1690329590
83,polyarnyy,69.1989,33.4478,9.49,95,89,2.25,RU,1690329590
84,maile,-38.9466,-72.3727,8.34,98,96,1.81,CL,1690329590
85,howard springs,-12.497,131.047,18.95,43,23,4.08,AU,1690329590
86,bobo-dioulasso,11.1771,-4.2979,26.25,89,0,1.03,BF,1690329590
87,kouroussa,10.65,-9.8833,21.22,98,95,1.57,GN,1690329590
88,kodinar,20.7903,70.7031,26.85,89,85,6.44,IN,1690329591
89,harstad,68.799,16.5293,16.0,93,98,2.68,NO,1690329591
90,sao vicente,-23.9631,-46.3919,26.26,26,34,0.87,BR,1690329591
91,tiksi,71.6872,128.8694,5.28,79,52,3.76,RU,1690329591
92,page,36.9147,-111.4558,37.05,17,47,3.13,US,1690329591
93,luderitz,-26.6481,15.1594,13.03,79,44,1.58,NA,1690329591
94,kerikeri,-35.2268,173.9474,14.39,73,5,5.36,NZ,1690329592
95,whitecourt,54.1502,-115.6855,17.58,55,40,6.17,CA,1690329592
96,atafu village,-8.5421,-172.5159,28.83,71,3,8.21,TK,1690329592
97,victoria,22.2855,114.1577,31.91,84,51,1.79,HK,1690329398
98,whitehorse,60.7161,-135.0538,23.9,47,75,1.03,CA,1690329340
99,west island,-12.1568,96.8225,24.99,73,75,8.23,CC,1690329592
100,guarapari,-20.6667,-40.4975,20.5,95,99,3.71,BR,1690329592
101,zyryanskoye,56.8306,86.6258,16.03,94,64,2.9,RU,1690329592
102,preobrazheniye,42.9019,133.9064,25.29,71,39,4.18,RU,1690329592
103,ribeira grande,38.5167,-28.7,20.99,84,31,2.24,PT,1690329593
104,ambodifotatra,-16.9833,49.85,22.02,84,64,2.18,MG,1690329593
105,punta arenas,-53.15,-70.9167,-0.18,86,87,5.18,CL,1690329593
106,east london,-33.0153,27.9116,14.71,30,100,2.82,ZA,1690329593
107,sandnessjoen,66.0217,12.6316,15.29,77,96,3.77,NO,1690329593
108,tieli,46.95,128.05,22.95,87,18,2.78,CN,1690329594
109,big spring,32.2504,-101.4787,38.39,21,0,4.63,US,1690329594
110,puerto natales,-51.7236,-72.4875,-1.79,88,21,3.16,CL,1690329351
111,sann,26.0418,68.1378,30.22,76,90,2.03,PK,1690329594
112,sabang,5.8933,95.3214,28.13,76,98,9.65,ID,1690329594
113,alexander city,32.944,-85.9539,30.88,55,0,0.0,US,1690329594
114,luanda,-8.8368,13.2343,22.0,78,75,2.06,AO,1690329451
115,oshawa,43.9001,-78.8496,26.49,74,75,2.57,CA,1690329577
116,georgetown,5.4112,100.3354,27.23,89,20,1.03,MY,1690329312
117,prado,-17.3411,-39.2208,21.78,91,44,4.0,BR,1690329595
118,brookings,44.3114,-96.7984,32.32,64,0,6.17,US,1690329595
119,fort dodge,42.4975,-94.168,30.0,70,75,3.6,US,1690329423
120,thompson,55.7435,-97.8558,22.09,43,40,5.66,CA,1690329595
121,ebon,4.582,168.6964,28.32,75,42,1.18,MH,1690329595
122,lihue,21.9789,-159.3672,29.58,71,71,6.68,US,1690329595
123,talwandi bhai,30.85,74.9333,26.98,89,97,3.37,IN,1690329595
124,zhengzhou,34.7578,113.6486,26.27,58,0,2.23,CN,1690329595
125,daru,-9.0763,143.2092,26.58,67,100,6.29,PG,1690329596
126,fuglafjordur,62.244,-6.814,9.26,89,96,3.26,FO,1690329596
127,al mayadin,35.0209,40.4535,32.11,23,0,6.57,SY,1690329596
128,tual,-5.6667,132.75,25.38,80,100,8.63,ID,1690329596
129,arambol,15.6868,73.7045,24.94,92,100,5.6,IN,1690329596
130,margate,51.3813,1.3862,15.94,70,49,1.79,GB,1690329596
131,susuman,62.7833,148.1667,15.9,72,94,2.35,RU,1690329596
132,nova sintra,14.8667,-24.7167,22.55,87,78,6.54,CV,1690329596
133,zag,46.9441,99.165,12.73,51,21,1.14,MN,1690329597
134,kodiak,57.79,-152.4072,15.79,76,14,3.72,US,1690329597
135,utrik,11.2278,169.8474,28.45,80,60,8.49,MH,1690329597
136,uturoa,-16.7333,-151.4333,26.92,81,14,7.1,PF,1690329597
137,south hedland,-20.4089,118.5983,14.96,55,17,5.66,AU,1690329597
138,port alfred,-33.5906,26.891,15.02,50,88,3.77,ZA,1690329597
139,klyuchi,52.2667,79.1667,18.95,56,10,1.69,RU,1690329597
140,korocha,50.8107,37.1953,22.4,58,44,4.77,RU,1690329598
141,elkins,38.9259,-79.8467,24.87,79,0,1.54,US,1690329598
142,essaouira,31.5125,-9.77,21.72,88,0,3.09,MA,1690329598
143,opuwo,-18.0607,13.84,16.38,35,2,2.12,NA,1690329598
144,tsiombe,-25.3,45.4833,18.14,54,62,3.32,MG,1690329598
